Epoch 213, loss: 14.574
Epoch 214, loss: 15.322
Epoch 215, loss: 15.807
Epoch 216, loss: 16.315
Epoch 217, loss: 14.781
Epoch 218, loss: 13.641
Epoch 219, loss: 13.361
Epoch 220, loss: 14.465
Epoch 221, loss: 19.293
Epoch 222, loss: 16.633
Epoch 223, loss: 12.265
Epoch 224, loss: 15.281
Epoch 225, loss: 15.647
Epoch 226, loss: 14.230
Epoch 227, loss: 17.473
Epoch 228, loss: 13.815
Epoch 229, loss: 14.413
Epoch 230, loss: 12.930
Epoch 231, loss: 12.582
Epoch 232, loss: 13.491
Epoch 233, loss: 12.546
Epoch 234, loss: 15.728
Epoch 235, loss: 15.523
Epoch 236, loss: 13.361
Epoch 237, loss: 12.876
Epoch 238, loss: 14.074
Epoch 239, loss: 11.728
Epoch 240, loss: 13.271
Epoch 241, loss: 17.374
Epoch 242, loss: 14.991
Epoch 243, loss: 11.554
Epoch 244, loss: 13.046
Epoch 245, loss: 11.642
Epoch 246, loss: 12.248
Epoch 247, loss: 14.762
Epoch 248, loss: 11.752
Epoch 249, loss: 12.051
Epoch 250, loss: 13.567
Epoch 251, loss: 11.670
Epoch 252, loss: 13.582
Epoch 253, loss: 12.920
Epoch 254, loss: 11.266
Epoch 255, loss: 17.167
Epoch 256, loss: 10.758
Epoch 257, loss: 10.608
Epoch 258, loss: 12.817
Epoch 259, loss: 10.820
Epoch 260, loss: 14.202
Epoch 261, loss: 15.992
Epoch 262, loss: 11.479
Epoch 263, loss: 9.906
Epoch 264, loss: 12.401
Epoch 265, loss: 12.218
Epoch 266, loss: 10.269
Epoch 267, loss: 10.617
Epoch 268, loss: 10.631
Epoch 269, loss: 12.945
Epoch 270, loss: 15.548
Epoch 271, loss: 11.784
Epoch 272, loss: 12.600
Epoch 273, loss: 11.846
Epoch 274, loss: 10.997
Epoch 275, loss: 12.806
Epoch 276, loss: 12.242
Epoch 277, loss: 11.684
Epoch 278, loss: 10.608
Epoch 279, loss: 12.754
Epoch 280, loss: 11.348
Epoch 281, loss: 10.021
Epoch 282, loss: 12.093
Epoch 283, loss: 13.374
Epoch 284, loss: 12.069
Epoch 285, loss: 11.339
Epoch 286, loss: 14.097
Epoch 287, loss: 11.540
Epoch 288, loss: 9.694
Epoch 289, loss: 12.583
Epoch 290, loss: 8.243
Epoch 291, loss: 9.465
Epoch 292, loss: 8.969
Epoch 293, loss: 9.029
Epoch 294, loss: 11.778
Epoch 295, loss: 13.818
Epoch 296, loss: 11.003
Epoch 297, loss: 14.950
Epoch 298, loss: 8.824
Epoch 299, loss: 9.087
Epoch 300, loss: 10.537
Epoch 301, loss: 10.741
Epoch 302, loss: 8.842
Epoch 303, loss: 8.481
Epoch 304, loss: 8.534
Epoch 305, loss: 9.128
Epoch 306, loss: 11.880
Epoch 307, loss: 10.070
Epoch 308, loss: 8.708
Epoch 309, loss: 9.450
Epoch 310, loss: 10.406
Epoch 311, loss: 9.654
Epoch 312, loss: 7.734
Epoch 313, loss: 8.376
Epoch 314, loss: 10.329
Epoch 315, loss: 10.484
Epoch 316, loss: 7.939
Epoch 317, loss: 7.765
Epoch 318, loss: 8.424
Epoch 319, loss: 8.332
Epoch 320, loss: 8.214
Epoch 321, loss: 7.924
Epoch 322, loss: 8.559
Epoch 323, loss: 8.462
Epoch 324, loss: 8.092
Epoch 325, loss: 8.248
Epoch 326, loss: 9.624
Epoch 327, loss: 8.626
Epoch 328, loss: 10.355
Epoch 329, loss: 8.119
Epoch 330, loss: 7.382
Epoch 331, loss: 9.080
Epoch 332, loss: 7.672
Epoch 333, loss: 7.427
Epoch 334, loss: 8.276
Epoch 335, loss: 9.159
Epoch 336, loss: 9.836
Epoch 337, loss: 10.459
Epoch 338, loss: 9.413
Epoch 339, loss: 8.078
Epoch 340, loss: 9.889
Epoch 341, loss: 10.146
Epoch 342, loss: 9.370
Epoch 343, loss: 8.614
Epoch 344, loss: 10.096
Epoch 345, loss: 7.179
Epoch 346, loss: 6.611
Epoch 347, loss: 8.224
Epoch 348, loss: 7.487
Epoch 349, loss: 8.505
Epoch 350, loss: 7.991
Epoch 351, loss: 11.360
Epoch 352, loss: 10.909
Epoch 353, loss: 7.812
Epoch 354, loss: 7.389
Epoch 355, loss: 7.137
Epoch 356, loss: 7.507
Epoch 357, loss: 9.396
Epoch 358, loss: 6.422
Epoch 359, loss: 7.764
Epoch 360, loss: 7.273
Epoch 361, loss: 7.048
Epoch 362, loss: 7.186
Epoch 363, loss: 6.277
Epoch 364, loss: 8.441
Epoch 365, loss: 7.005
Epoch 366, loss: 7.347
Epoch 367, loss: 7.332
Epoch 368, loss: 7.282
Epoch 369, loss: 6.449
Epoch 370, loss: 7.108
Epoch 371, loss: 8.314
Epoch 372, loss: 6.627
Epoch 373, loss: 8.251
Epoch 374, loss: 6.156
Epoch 375, loss: 6.504
Epoch 376, loss: 7.136
Epoch 377, loss: 7.546
Epoch 378, loss: 6.917
Epoch 379, loss: 7.173
